タイムスタンプ,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）","  Using this interaction method improved my task performance.
（この操作方法を使うことで、タスクの効率が向上したと感じましたか？）","  I intend to use this interaction method in the future.
（今後もこの操作方法を使いたいと思いますか？）","  I found this interaction method to be smooth and easy to execute.
（この操作方法はスムーズに実行できましたか？）","  The behavior of this interaction method was consistent.
（この操作方法の動作は一貫していましたか？）","  This interaction method performed as I intended.
（この操作方法は意図したとおりに動作しましたか？）","  I felt that this interaction method was trustworthy.
（この操作方法は信頼できると感じましたか？）","  I was confident that this interaction method would work correctly.
（この操作方法を使用する際、システムが適切に動作すると確信していましたか？）","   I felt that this system was trustworthy.
（このシステムは信頼できると感じました。）","  I was confident that this system would function correctly.
（このシステムが適切に動作すると確信していました。）","  The system was reliable in its responses.
（このシステムの応答は信頼できるものでした。）  ","  The system behaved in a consistent manner.
（このシステムの挙動は一貫していました。）  ","  I can trust this system to operate as expected.
（このシステムは予想通りに動作すると信頼できます。）  ","  The system’s actions were easy to understand.
（このシステムの動作は理解しやすかった。）  ","   I was able to predict how the system would respond to my actions.
（このシステムがどのように反応するか予測できました。）  ","  The system provided clear feedback about its actions.
（このシステムは、自分の動作について明確なフィードバックを提供しました。）  ","  The system behaved in an underhanded manner.
（このシステムは不誠実な動作をしたと感じました。）  ","  The system’s actions could lead to harmful or unintended consequences.
（このシステムの動作は、望ましくない結果や危険を引き起こす可能性があると感じました。）  ","  The system provides a sense of security and integrity.
（このシステムは安全性と誠実性を提供すると感じました。）  ","How mentally demanding was the task?
（このタスクはどの程度、精神的に負担を感じましたか？）","How physically demanding was the task?
（このタスクはどの程度、身体的に負担を感じましたか？）","How hurried or rushed did you feel during the task?
（このタスクを行う際、急かされていると感じましたか？）","How successful do you think you were in accomplishing the task?
（このタスクを成功させることができたと感じましたか？）","How much effort did you need to put into completing the task?
（このタスクを完了するために、どれくらいの努力が必要でしたか？）","How frustrated or irritated did you feel during the task?
（このタスクを行う際、イライラやストレスを感じましたか？）","How burdensome did you find gaze movement or searching during the task?
（このタスクの間、視線の移動や検索はどの程度負担になりましたか？）","To what extent did you need to adjust your body position or posture to complete the task?
（このタスクを完了するために、どの程度、体の向きを変更する必要がありましたか？）","How much burden did you feel from moving or repositioning yourself during the task?
（このタスクの間、移動や再配置による負担をどの程度感じましたか？）",ID,Condition,Free Description (自由記述),年齢（Age）,性別（Gender）,  Do you own a smart speaker?  （スマートスピーカーを所有していますか？）,"If yes, which type?(所有している場合は、機種を)",How have you operated smart home devices? (スマート家電の操作方法として使ったことがあるもの),Do you regularly use smart home devices?　(スマート家電を日常的に使っていますか？),列 40
2025/06/26 20:41:44,4,5,2,4,4,2,2,5,2,5,2,1,1,4,3,4,3,4,4,4,4,4,4,4,4,2,3,3,10,10,9,7,10,9,9,9,8,P10,4,番号を覚えるのが大変すぎた。いちいちカウントして指示を出さないといけなかったため時間がものすごくかかった,,,,,,,
2025/06/26 21:08:44,3,4,2,4,4,4,4,3,2,4,2,3,3,4,3,3,2,4,4,3,2,2,2,2,3,4,3,2,10,10,10,4,10,9,10,10,10,P10,1,空間の説明が難しかった。ずっと頭を固定していないといけないのがつらかった,,,,,,,
2025/06/27 12:00:43,3,2,4,2,2,2,4,1,5,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,6,1,8,3,1,5,7,7,P11,3,,,,,,,,
2025/06/27 12:31:58,2,5,1,2,2,3,1,2,1,5,3,1,2,4,4,2,1,2,2,2,4,2,4,3,4,2,3,4,6,5,6,4,8,5,6,6,3,P11,4,,,,,,,,
2025/06/27 13:09:36,4,2,3,1,4,1,4,2,3,1,5,5,5,4,3,3,2,3,2,3,4,3,5,4,5,3,4,3,7,6,6,7,6,4,3,6,4,P11,1,,,,,,,,
2025/06/27 13:29:33,5,1,5,2,5,1,5,1,5,2,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,6,4,10,2,2,4,6,5,P11,2,,,,,,,,
2025/06/27 14:26:27,3,4,3,2,4,2,2,4,2,4,2,2,2,3,4,4,3,3,3,4,4,4,4,4,4,1,2,3,6,6,4,8,7,7,8,8,7,P12,4,一分でライトの名前を覚えきれませんでした。LLMは送信した内容を正確に反映してくれたのがよかったです。,,,,,,,
2025/06/27 15:18:24,2,2,2,4,3,2,3,4,2,2,2,3,2,3,1,2,2,2,2,1,2,2,3,2,3,4,4,2,9,9,5,6,8,9,7,7,7,P12,1,送信した内容の意図と異なる結果になったのが使いづらい原因でした。同じ言葉を使っても、異なる結果になることがあり困惑しました。,,,,,,,
2025/06/27 15:37:28,4,1,4,2,4,2,4,2,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,6,4,9,4,4,6,7,6,P12,2,他の方法と比べて、点灯したいライトが指定できるので入力に必要な言葉が少なくなり、結果としてタスクを達成するのが楽に感じた。,,,,,,,
2025/06/27 15:50:54,4,1,4,2,4,2,4,1,5,2,6,5,6,4,4,4,4,4,4,4,4,4,5,4,4,2,2,4,3,6,4,9,4,3,5,6,6,P12,3,選択式で、かつ左右を指定できる条件と比べて、異なる色のライトは別で入力しなければならないのは面倒だが、結果の予測は容易なのでその点では使いやすかったです。,,,,,,,
2025/06/27 16:55:52,4,3,3,2,3,2,2,4,3,4,3,5,4,1,2,2,2,3,2,3,2,3,3,2,3,2,4,2,2,1,2,4,2,4,5,6,7,P13,1,"ライトの数が限られている場合はミスは少なくなると感じた。
言葉の認識能力が少し低いと感じました。",,,,,,,
2025/06/27 17:15:22,4,1,5,2,4,2,4,1,5,2,6,6,6,2,5,4,4,4,4,5,4,4,5,5,4,1,1,4,1,0,0,9,2,0,2,1,1,P13,2,"操作がしやすかった。
時間的にも音声認識のものより時間がかからなかった",,,,,,,
2025/06/27 17:32:21,4,1,5,1,5,1,5,1,5,1,6,6,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,4,0,10,1,0,3,6,3,P13,3,これまでに行った３つの操作方法の中でも、最も単純な操作で覚えやすかった。,,,,,,,
2025/06/27 17:54:02,2,4,4,1,3,4,1,5,3,5,3,2,1,5,4,4,5,4,5,5,5,4,5,4,4,2,4,4,3,4,6,7,5,3,3,6,6,P13,4,場所と名前を正確に覚えるために脳のリソースをかなり使ってしまったので、生活で使う上では利便性は高くないと感じました。,,,,,,,
2025/06/27 18:54:36,4,1,4,2,5,1,3,2,4,2,6,6,6,5,4,5,4,5,4,4,5,4,4,5,4,1,1,5,2,5,0,8,2,2,5,6,2,P14,2,,,,,,,,
2025/06/27 19:07:06,4,2,4,1,4,1,4,2,5,4,6,6,5,1,4,4,4,5,4,4,1,4,4,5,5,1,1,4,2,5,0,7,2,2,6,6,3,P14,3,,,,,,,,
2025/06/27 19:27:45,2,3,2,2,3,1,1,4,1,2,2,1,2,4,2,2,2,2,2,2,4,2,3,2,3,4,3,4,6,4,5,3,7,8,6,6,4,P14,4,,,,,,,,
2025/06/27 19:54:51,2,3,2,4,3,1,2,4,2,4,3,2,4,4,3,4,3,2,2,3,4,2,2,3,2,5,4,3,8,6,5,7,7,7,8,8,6,P14,1,,,,,,,,
2025/06/27 20:18:01,4,2,4,2,4,2,4,2,4,2,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,2,7,2,9,3,2,7,7,7,P15,3,,,,,,,,
2025/06/27 20:33:17,3,3,3,2,3,2,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,2,3,7,7,3,7,7,4,7,6,7,P15,4,,,,,,,,
2025/06/27 21:06:50,2,4,2,3,2,4,2,4,1,3,2,2,2,3,2,2,1,2,2,1,2,2,2,1,2,3,3,3,8,8,5,2,7,6,7,7,7,P15,1,,,,,,,,
2025/06/27 21:17:21,4,2,4,2,4,2,4,2,4,2,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,5,2,8,6,2,6,7,7,P15,2,,,,,,,,
2025/06/28 18:08:11,2,5,1,2,2,4,1,5,1,5,1,1,1,5,4,1,4,4,4,4,4,4,5,5,5,1,2,4,7,1,2,7,9,7,1,1,1,P16,4,名前覚えられたら楽,,,,,,,
2025/06/28 18:36:13,4,2,4,4,5,4,4,2,2,4,3,3,2,1,2,2,1,1,1,1,1,1,2,1,5,4,4,2,2,8,2,6,7,3,8,8,8,P16,1,視界の中心をあの電気って言いたい,,,,,,,
2025/06/28 18:52:04,4,2,4,4,5,1,4,2,5,4,6,3,7,5,5,5,4,5,4,5,5,5,4,5,5,1,2,5,2,7,2,10,3,2,3,3,3,P16,2,,,,,,,,
2025/06/28 19:02:53,2,4,2,4,2,1,4,5,5,4,1,2,6,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,6,7,0,9,6,4,8,8,8,P16,3,,,,,,,,
2025/06/28 19:54:08,1,1,2,1,2,1,4,2,2,1,7,2,7,1,3,1,1,1,1,2,1,2,5,1,5,3,4,2,0,0,0,8,7,0,0,8,0,P17,1,,,,,,,,
2025/06/28 20:08:16,4,1,4,1,4,1,4,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,0,0,10,0,0,0,3,0,P17,2,,,,,,,,
2025/06/28 20:20:52,3,1,5,1,4,2,5,3,5,1,3,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,0,3,0,10,4,6,6,9,6,P17,3,,,,,,,,
2025/06/28 20:47:28,1,1,1,1,4,1,2,4,4,1,5,5,4,5,5,4,3,4,4,4,4,4,4,4,4,1,1,5,0,0,0,9,9,0,2,8,2,P17,4,,,,,,,,
2025/06/30 14:42:05,3,2,4,4,4,2,3,2,4,2,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,3,1,7,5,4,3,7,4,P18,2,最初の条件だったので特に比較はできませんでした,,,,,,,
2025/06/30 15:07:09,3,2,4,2,4,2,3,2,4,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,6,4,3,7,5,4,5,7,4,P18,3,pointing + spatial条件のほうが使いやすかったです。「右から・・・」みたいな指示ができると便利だと思いました,,,,,,,
2025/06/30 15:42:27,1,3,1,2,2,5,1,5,2,2,1,1,1,4,4,3,3,4,3,3,3,3,3,2,3,3,4,3,7,7,6,5,7,7,8,6,6,P18,4,音声認識は声が枯れるから、何度も指示を出すのが大変でした,,,,,,,
2025/06/30 16:17:39,3,4,3,2,3,2,3,3,2,2,4,4,3,4,3,3,3,4,2,2,3,2,4,3,4,3,4,2,7,7,1,6,7,6,6,7,6,P18,1,マシンが理解してくれる説明の仕方をこちらがマスターすれば使いやすくなると思いました,,,,,,,
2025/06/30 17:32:52,2,2,3,2,2,1,3,3,3,2,2,3,2,5,5,4,4,3,4,4,5,4,2,5,4,1,2,4,9,7,4,8,9,7,8,9,8,P19,3,同じ色の点灯だったため、操作でミスしない自信があった。答えの照明の点灯している色がわかりづらかった。,,,,,,,
2025/06/30 18:00:07,2,5,1,4,2,3,1,4,2,4,3,3,5,4,3,3,2,2,2,3,4,3,1,4,4,2,4,3,8,3,7,3,10,5,4,2,5,P19,4,場所を覚えていればミスが少なくできると感じ、慣れれば使いやすくなると感じた。名前を覚えるのは大変だが、使っていくうちに場所を覚えて記憶するストレスがだんだん減ってきたように感じた。タスクが終わるごとに場所の名前を少し見せてくれると場所の記憶の定着が早くなるのではと思った。,,,,,,,
2025/06/30 18:28:54,4,2,3,4,3,3,3,3,2,2,5,6,5,4,3,3,3,2,4,4,4,3,4,3,4,2,4,3,3,2,2,7,7,3,7,3,2,P19,1,言葉の伝え方にコツがあるのが少し難しく感じたが、スムーズに進めることができたと感じた。AIに言葉で伝えるのに自分で考えながら行い、できたときに達成感を感じた。またシステムに意思を伝える過程で親近感を少し感じた。,,,,,,,
2025/06/30 18:42:56,5,1,5,2,5,2,4,2,5,2,7,6,6,5,4,5,4,4,4,5,5,4,5,5,5,1,2,4,1,4,2,9,2,1,6,8,3,P19,2,指定された照明の色のみが変わる保証があり、安心してシステムを使用することができた。,,,,,,,
2025/07/01 11:53:01,3,2,4,4,4,1,4,2,3,1,4,3,5,5,4,5,4,4,4,4,5,4,5,5,5,1,1,4,8,2,2,7,6,3,7,4,6,P20,4,,,,,,,,
2025/07/01 12:23:33,2,1,3,2,5,1,4,1,2,1,3,2,2,4,3,3,2,3,3,3,4,3,4,3,3,1,2,4,6,5,1,7,5,7,7,7,1,P20,1,,,,,,,,
2025/07/01 12:33:30,5,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,1,0,10,0,0,1,1,1,P20,2,,,,,,,,
2025/07/01 12:42:14,5,1,5,1,5,1,5,1,5,1,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,0,1,0,10,0,0,1,1,1,P20,3,,,,,,,,
2025/07/01 15:43:19,4,1,4,3,5,2,5,1,3,2,5,4,5,4,4,3,2,2,2,3,3,3,4,3,3,2,2,3,3,2,0,9,6,1,5,7,4,P21,1,「中心にある電気をつけて」という命令に対して、あまり中心にないものがついていた,,,,,,,
2025/07/01 16:20:02,3,4,2,4,3,3,2,3,2,1,3,3,3,3,4,3,3,2,3,3,3,3,4,4,4,2,2,3,1,3,0,8,7,1,7,7,2,P21,2,,,,,,,,
2025/07/01 16:33:58,2,1,3,2,3,2,4,2,4,2,5,4,6,4,5,5,5,5,5,5,5,5,5,5,5,1,2,2,1,4,1,9,2,0,7,7,7,P21,3,１個１個選択している分確実性があるように感じました,,,,,,,
2025/07/01 16:51:10,2,2,2,1,2,2,2,4,2,5,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,6,3,1,7,9,1,3,7,7,P21,4,名前を覚えるのが大変でした,,,,,,,
2025/07/02 14:19:47,3,3,2,4,3,2,4,3,3,4,5,4,3,4,3,4,3,3,5,4,4,4,3,4,2,3,3,3,7,3,5,7,7,5,8,9,6,P22,2,対象の選択の信頼性はたかいが、いちいち選択するのは面倒だった。,,,,,,,
2025/07/02 14:34:04,4,3,5,2,3,2,5,4,4,2,2,2,3,5,5,4,5,4,5,4,4,4,5,4,2,2,2,4,8,9,8,7,7,8,10,10,8,P22,3,"いちいち操作するのは面倒だが正しく動くだろうという信頼はあった
体が疲れた。",,,,,,,
2025/07/02 15:01:39,1,5,2,2,2,2,1,5,2,5,1,1,2,4,3,4,2,4,3,3,3,3,2,3,2,2,3,3,10,8,7,3,10,10,8,6,6,P22,4,覚えられません,,,,,,,
2025/07/02 15:31:25,4,2,5,3,4,4,4,2,3,2,5,5,5,3,3,2,3,4,3,4,4,3,4,3,3,3,3,3,6,2,3,7,3,3,3,3,2,P22,1,よい指示を考えるのが難しかった。,,,,,,,
2025/07/03 11:33:02,4,1,2,2,2,2,5,3,4,1,5,5,5,5,5,4,4,4,4,4,5,4,5,4,5,2,1,4,6,6,5,8,2,6,9,9,8,P23,3,,,,,,,,
2025/07/03 11:59:18,2,3,2,3,2,4,2,4,1,4,2,2,3,4,1,2,1,4,1,4,4,2,3,2,3,3,4,3,9,6,6,3,8,9,2,3,3,P23,4,,,,,,,,
2025/07/03 12:32:18,2,4,2,4,3,4,1,4,3,3,2,3,2,1,2,3,2,2,2,1,2,1,1,3,3,2,5,2,9,7,2,2,8,9,8,8,7,P23,1,,,,,,,,
2025/07/03 12:44:24,5,1,5,2,5,2,5,2,5,2,7,7,7,4,4,5,4,4,4,4,4,4,5,5,5,1,2,4,2,4,2,9,2,3,5,6,5,P23,2,,,,,,,,
2025/07/03 16:03:56,2,2,4,2,3,2,3,2,4,2,3,3,5,4,3,4,3,3,3,3,4,3,4,3,4,2,2,3,4,6,3,8,3,5,6,6,4,P24,4,ラベル付けされているので暗記できていれば操作はしやすいと思う。暗記するのが大変、数が増えれば増えるど。また順番で混乱してしまった。数字じゃなくて方角とかにも対応したラベル付けだと操作性があがるかも。同じデバイスに複数のラベルがついているといいかもしれない。,,,,,,,
2025/07/03 16:35:12,2,4,2,4,3,4,2,4,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,7,7,7,5,7,7,8,8,7,P24,1,複数のライトを一気につけることができたときは気持ちよく感じる。一方で意図したとおりにライトをつけることができなかったときにはわずらわしさを感じる。操作性とシステムと同様に。,,,,,,,
2025/07/03 16:50:29,4,2,4,2,4,2,4,2,4,2,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3,2,3,8,4,2,3,3,2,P24,2,点けたい電球を指定しやすくて動作が意図したとおりに行われた。操作しやすかった。まとめて複数のライトを複雑な操作も同時に行うことができる。範囲選択は視界の中で描く必要があるため創造よりも上にうでを挙げて操作する必要があった,,,,,,,
2025/07/03 17:01:58,4,2,5,2,3,2,5,2,4,2,5,5,7,5,4,4,4,4,4,4,4,4,5,4,4,2,2,4,2,2,2,8,3,1,3,3,3,P24,3,操作が単純なため指示出しが早くできた。特に考える必要もなく電球をつけることができてよかった。,,,,,,,
